Type,Name,SE,LE
"

Video
				(Movies)
			
","
 To End All War Oppenheimer The Atomic Bomb (2023) 1080p WEBR

 Uploaded 07-11 18:08, Size 1.61 GiB, ULed by  TvTeam 
",1614,839
"

Video
				(Movies)
			
","
 Barbie.2023.HDCAM.c1nem4.x264-SUNSCREEN[TGx]

 Uploaded 07-21 17:20, Size 994.5 MiB, ULed by  TGxGoodies 
",1209,501
"

Video
				(Movies)
			
","
 Mission.Impossible.Dead.Reckoning.Part.One.2023.V2.HDTS.ADFREE.x

 Uploaded 07-19 06:46, Size 995.9 MiB, ULed by  TGxGoodies 
",1109,267
"

Video
				(Movies)
			
","
 Sound.of.Freedom.2022.HDCAM.c1nem4.x264-SUNSCREEN[TGx]

 Uploaded 07-06 03:25, Size 994.8 MiB, ULed by  TGxGoodies 
",769,355
"

Video
				(Movies)
			
","
 The.Super.Mario.Bros.Movie.2023.1080p.HDRip.Dual.Audio.X26

 Uploaded 04-25 01:32, Size 1.8 GiB, ULed by  TvTeam 
",539,72
"

Video
				(Movies)
			
","
 Oppenheimer.2023.HDTS.c1nem4.x264-SUNSCREEN[TGx]

 Uploaded 07-23 18:32, Size 996.97 MiB, ULed by  TGxGoodies 
",473,213
"

Video
				(Movies)
			
","
 War.of.the.Worlds.The.Attack.2023.WEBRip.x264-ION10

 Uploaded 05-15 12:13, Size 848.44 MiB, ULed by  sotnikam 
",425,29
"

Video
				(Movies)
			
","
 Avatar.The.Way.of.Water.2022.INTERNAL.720p.10bit.HC.WEBRip.2CH.x265.HEVC-PSA

 Uploaded 03-25 19:14, Size 1.45 GiB, ULed by  .BONE. 
",421,45
"

Video
				(Movies)
			
","
 American.Psycho.2000.Remastered.1080p.BluRay.X264.AC3.Wi

 Uploaded 04-23 2021, Size 2 GiB, ULed by  TvTeam 
",303,45
"

Video
				(Movies)
			
","
 The Flood 2023 1080p WEB-DL HEVC x265-RMTeam

 Uploaded 07-17 00:59, Size 975.56 MiB, ULed by  .BONE. 
",293,25
"

Video
				(Movies)
			
","
 Indiana.Jones.and.the.Dial.of.Destiny.2023.HDCAM.c1nem4.x264-SUN

 Uploaded 06-30 04:11, Size 995.43 MiB, ULed by  TGxGoodies 
",293,58
"

Video
				(Movies)
			
","
 Guardians of the Galaxy Vol.3 2023 4K WEBRip 2160p HDR10+ DV DD+ 5.1 Atmos-MgB

 Uploaded 07-08 20:43, Size 16.63 GiB, ULed by  MgB 
",292,119
